"","survey_id","choice_indicator","obs_id","label","choice_set","pension","gender_equality","living_wage","salary_equality","labor_rights","environmental_impact","faith_morality","firearms","price"
"15",216639557,0,8,1,8,65000,"gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-65000
"16",216639557,1,8,2,8,45000,"no gender restrictions","no living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-45000
"17",216639557,1,9,1,9,70000,"gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-70000
"18",216639557,0,9,2,9,40000,"no gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","no faith/morality restrictions","no firearms restrictions",-40000
"19",216639557,1,10,1,10,65000,"no gender restrictions","no living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-65000
"20",216639557,0,10,2,10,55000,"gender restrictions","living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-55000
"21",216639557,0,11,1,11,55000,"no gender restrictions","living wage restrictions","no salary equality restrictions","no labor rights restrictions","environmental restrictions","no faith/morality restrictions","no firearms restrictions",-55000
"22",216639557,1,11,2,11,40000,"gender restrictions","no living wage restrictions","salary equality restrictions","labor rights restrictions","no environmental restrictions","faith/morality restrictions","firearms restrictions",-40000
"23",216639557,1,12,1,12,50000,"no gender restrictions","no living wage restrictions","salary equality restrictions","labor rights restrictions","no environmental restrictions","no faith/morality restrictions","no firearms restrictions",-50000
"24",216639557,0,12,2,12,70000,"gender restrictions","living wage restrictions","no salary equality restrictions","no labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-70000
"25",216639735,1,13,1,1,45000,"no gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","no faith/morality restrictions","no firearms restrictions",-45000
"26",216639735,0,13,2,1,55000,"gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","no environmental restrictions","faith/morality restrictions","firearms restrictions",-55000
"27",216639735,0,14,1,2,65000,"gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","no environmental restrictions","no faith/morality restrictions","no firearms restrictions",-65000
"28",216639735,1,14,2,2,55000,"no gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-55000
"29",216639735,1,15,1,3,50000,"no gender restrictions","no living wage restrictions","salary equality restrictions","labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-50000
"30",216639735,0,15,2,3,65000,"gender restrictions","living wage restrictions","no salary equality restrictions","no labor rights restrictions","environmental restrictions","no faith/morality restrictions","firearms restrictions",-65000
"31",216639735,0,16,1,4,40000,"no gender restrictions","living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-40000
"32",216639735,1,16,2,4,45000,"gender restrictions","no living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","no firearms restrictions",-45000
"33",216639735,1,17,1,5,70000,"gender restrictions","living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-70000
"34",216639735,0,17,2,5,60000,"no gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","no firearms restrictions",-60000
"35",216639735,0,18,1,6,60000,"gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-60000
"36",216639735,1,18,2,6,70000,"no gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-70000
"37",216639735,0,19,1,7,40000,"gender restrictions","living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","firearms restrictions",-40000
"38",216639735,1,19,2,7,50000,"no gender restrictions","no living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","no faith/morality restrictions","no firearms restrictions",-50000
"39",216639735,1,20,1,8,65000,"gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-65000
"40",216639735,0,20,2,8,70000,"no gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","no faith/morality restrictions","no firearms restrictions",-70000
"41",216639735,0,21,1,9,60000,"no gender restrictions","no living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-60000
"42",216639735,1,21,2,9,55000,"gender restrictions","living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","no faith/morality restrictions","firearms restrictions",-55000
"43",216639735,1,22,1,10,45000,"no gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","firearms restrictions",-45000
"44",216639735,0,22,2,10,50000,"gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","no faith/morality restrictions","no firearms restrictions",-50000
"45",216639735,0,23,1,11,50000,"gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-50000
"46",216639735,1,23,2,11,55000,"no gender restrictions","living wage restrictions","no salary equality restrictions","no labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-55000
"47",216639735,0,24,1,12,45000,"no gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","firearms restrictions",-45000
"48",216639735,1,24,2,12,60000,"gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","no faith/morality restrictions","no firearms restrictions",-60000
"49",216639781,0,25,1,1,40000,"gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","firearms restrictions",-40000
"50",216639781,1,25,2,1,70000,"gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","no faith/morality restrictions","no firearms restrictions",-70000
"51",216639781,1,26,1,2,65000,"gender restrictions","no living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-65000
"52",216639781,0,26,2,2,55000,"no gender restrictions","living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-55000
"53",216639781,0,27,1,3,50000,"gender restrictions","no living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-50000
"54",216639781,1,27,2,3,40000,"no gender restrictions","living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-40000
"55",216639781,1,28,1,4,50000,"no gender restrictions","no living wage restrictions","salary equality restrictions","labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-50000
"56",216639781,0,28,2,4,65000,"gender restrictions","living wage restrictions","no salary equality restrictions","no labor rights restrictions","environmental restrictions","no faith/morality restrictions","firearms restrictions",-65000
"57",216639781,0,29,1,5,60000,"no gender restrictions","living wage restrictions","no salary equality restrictions","labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-60000
"58",216639781,1,29,2,5,65000,"no gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","no faith/morality restrictions","no firearms restrictions",-65000
"59",216639781,0,30,1,6,45000,"no gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","no environmental restrictions","faith/morality restrictions","firearms restrictions",-45000
"60",216639781,1,30,2,6,50000,"gender restrictions","living wage restrictions","no salary equality restrictions","no labor rights restrictions","environmental restrictions","no faith/morality restrictions","no firearms restrictions",-50000
"61",216639781,0,31,1,7,60000,"no gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-60000
"62",216639781,1,31,2,7,55000,"gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-55000
"63",216639781,1,32,1,8,45000,"no gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","no faith/morality restrictions","no firearms restrictions",-45000
"64",216639781,0,32,2,8,65000,"gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","no environmental restrictions","faith/morality restrictions","firearms restrictions",-65000
"65",216639781,0,33,1,9,45000,"gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-45000
"66",216639781,1,33,2,9,60000,"no gender restrictions","living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-60000
"67",216639781,0,34,1,10,45000,"gender restrictions","living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-45000
"68",216639781,1,34,2,10,50000,"no gender restrictions","no living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","no faith/morality restrictions","firearms restrictions",-50000
"69",216639781,0,35,1,11,40000,"gender restrictions","living wage restrictions","no salary equality restrictions","labor rights restrictions","no environmental restrictions","no faith/morality restrictions","no firearms restrictions",-40000
"70",216639781,1,35,2,11,55000,"no gender restrictions","no living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-55000
"71",216639781,1,36,1,12,70000,"no gender restrictions","no living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","no firearms restrictions",-70000
"72",216639781,0,36,2,12,40000,"gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-40000
"73",216639975,1,37,1,1,40000,"no gender restrictions","living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-40000
"74",216639975,0,37,2,1,65000,"gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-65000
"75",216639975,1,38,1,2,50000,"no gender restrictions","no living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-50000
"76",216639975,0,38,2,2,55000,"gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-55000
"77",216639975,0,39,1,3,40000,"gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","no faith/morality restrictions","no firearms restrictions",-40000
"78",216639975,1,39,2,3,45000,"no gender restrictions","living wage restrictions","no salary equality restrictions","labor rights restrictions","no environmental restrictions","faith/morality restrictions","firearms restrictions",-45000
"79",216639975,1,40,1,4,55000,"gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","firearms restrictions",-55000
"80",216639975,0,40,2,4,50000,"no gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","no faith/morality restrictions","firearms restrictions",-50000
"81",216639975,0,41,1,5,70000,"gender restrictions","living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-70000
"82",216639975,1,41,2,5,45000,"no gender restrictions","no living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","no faith/morality restrictions","firearms restrictions",-45000
"83",216639975,0,42,1,6,65000,"no gender restrictions","no living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","no faith/morality restrictions","firearms restrictions",-65000
"84",216639975,1,42,2,6,60000,"gender restrictions","living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-60000
"85",216639975,0,43,1,7,40000,"gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-40000
"86",216639975,1,43,2,7,70000,"no gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","no firearms restrictions",-70000
"87",216639975,0,44,1,8,45000,"no gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-45000
"88",216639975,1,44,2,8,50000,"gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","no faith/morality restrictions","firearms restrictions",-50000
"89",216639975,0,45,1,9,55000,"gender restrictions","no living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-55000
"90",216639975,1,45,2,9,60000,"no gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-60000
"91",216639975,0,46,1,10,40000,"no gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","firearms restrictions",-40000
"92",216639975,1,46,2,10,60000,"gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-60000
"93",216639975,0,47,1,11,70000,"no gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","no environmental restrictions","no faith/morality restrictions","no firearms restrictions",-70000
"94",216639975,1,47,2,11,45000,"gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-45000
"95",216639975,0,48,1,12,70000,"gender restrictions","no living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","firearms restrictions",-70000
"96",216639975,1,48,2,12,55000,"no gender restrictions","living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","no faith/morality restrictions","no firearms restrictions",-55000
"97",216639982,0,49,1,1,45000,"no gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-45000
"98",216639982,1,49,2,1,40000,"gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-40000
"99",216639982,0,50,1,2,50000,"no gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","firearms restrictions",-50000
"100",216639982,1,50,2,2,70000,"gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","no faith/morality restrictions","no firearms restrictions",-70000
"101",216639982,0,51,1,3,50000,"no gender restrictions","no living wage restrictions","salary equality restrictions","labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-50000
"102",216639982,1,51,2,3,60000,"gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-60000
"103",216639982,1,52,1,4,40000,"gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","no firearms restrictions",-40000
"104",216639982,0,52,2,4,55000,"no gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-55000
"105",216639982,1,53,1,5,65000,"gender restrictions","no living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-65000
"106",216639982,0,53,2,5,60000,"no gender restrictions","living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","no faith/morality restrictions","firearms restrictions",-60000
"107",216639982,0,54,1,6,60000,"gender restrictions","no living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","no faith/morality restrictions","firearms restrictions",-60000
"108",216639982,1,54,2,6,55000,"no gender restrictions","living wage restrictions","no salary equality restrictions","labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-55000
"109",216639982,0,55,1,7,65000,"no gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","no faith/morality restrictions","firearms restrictions",-65000
"110",216639982,1,55,2,7,45000,"gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-45000
"111",216639982,0,56,1,8,65000,"gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-65000
"112",216639982,1,56,2,8,55000,"no gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","no firearms restrictions",-55000
"113",216639982,1,57,1,9,50000,"gender restrictions","living wage restrictions","no salary equality restrictions","labor rights restrictions","no environmental restrictions","faith/morality restrictions","firearms restrictions",-50000
"114",216639982,0,57,2,9,70000,"no gender restrictions","no living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","no faith/morality restrictions","no firearms restrictions",-70000
"115",216639982,1,58,1,10,50000,"no gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","no faith/morality restrictions","no firearms restrictions",-50000
"116",216639982,0,58,2,10,60000,"gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-60000
"117",216639982,0,59,1,11,70000,"gender restrictions","living wage restrictions","no salary equality restrictions","no labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-70000
"118",216639982,1,59,2,11,45000,"no gender restrictions","no living wage restrictions","salary equality restrictions","labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-45000
"119",216639982,1,60,1,12,60000,"no gender restrictions","living wage restrictions","no salary equality restrictions","no labor rights restrictions","environmental restrictions","no faith/morality restrictions","firearms restrictions",-60000
"120",216639982,0,60,2,12,40000,"gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-40000
"121",216640015,0,61,1,1,55000,"no gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-55000
"122",216640015,1,61,2,1,60000,"gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","no faith/morality restrictions","firearms restrictions",-60000
"123",216640015,0,62,1,2,70000,"no gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-70000
"124",216640015,1,62,2,2,40000,"gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-40000
"125",216640015,0,63,1,3,50000,"gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","no faith/morality restrictions","no firearms restrictions",-50000
"126",216640015,1,63,2,3,65000,"no gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-65000
"127",216640015,0,64,1,4,45000,"gender restrictions","living wage restrictions","no salary equality restrictions","labor rights restrictions","no environmental restrictions","no faith/morality restrictions","no firearms restrictions",-45000
"128",216640015,1,64,2,4,65000,"no gender restrictions","no living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-65000
"129",216640015,0,65,1,5,60000,"no gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","firearms restrictions",-60000
"130",216640015,1,65,2,5,45000,"gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-45000
"131",216640015,0,66,1,6,65000,"no gender restrictions","no living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-65000
"132",216640015,1,66,2,6,60000,"gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-60000
"133",216640015,0,67,1,7,70000,"no gender restrictions","no living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","no faith/morality restrictions","no firearms restrictions",-70000
"134",216640015,1,67,2,7,40000,"gender restrictions","living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-40000
"135",216640015,0,68,1,8,70000,"gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-70000
"136",216640015,1,68,2,8,50000,"no gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-50000
"137",216640015,1,69,1,9,55000,"gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","no environmental restrictions","no faith/morality restrictions","no firearms restrictions",-55000
"138",216640015,0,69,2,9,40000,"no gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","no faith/morality restrictions","firearms restrictions",-40000
"139",216640015,1,70,1,10,55000,"gender restrictions","living wage restrictions","no salary equality restrictions","no labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-55000
"140",216640015,0,70,2,10,45000,"no gender restrictions","no living wage restrictions","salary equality restrictions","labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-45000
"141",216640015,1,71,1,11,60000,"gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-60000
"142",216640015,0,71,2,11,50000,"no gender restrictions","no living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-50000
"143",216640015,0,72,1,12,70000,"gender restrictions","living wage restrictions","no salary equality restrictions","labor rights restrictions","no environmental restrictions","faith/morality restrictions","firearms restrictions",-70000
"144",216640015,1,72,2,12,45000,"no gender restrictions","no living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","no faith/morality restrictions","no firearms restrictions",-45000
"145",216640022,1,73,1,1,60000,"gender restrictions","living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-60000
"146",216640022,0,73,2,1,70000,"no gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","no firearms restrictions",-70000
"147",216640022,1,74,1,2,65000,"no gender restrictions","no living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-65000
"148",216640022,0,74,2,2,60000,"gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","no firearms restrictions",-60000
"149",216640022,1,75,1,3,55000,"no gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","no faith/morality restrictions","no firearms restrictions",-55000
"150",216640022,0,75,2,3,70000,"gender restrictions","no living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","firearms restrictions",-70000
"151",216640022,1,76,1,4,45000,"no gender restrictions","no living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-45000
"152",216640022,0,76,2,4,50000,"gender restrictions","living wage restrictions","no salary equality restrictions","labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-50000
"153",216640022,1,77,1,5,70000,"gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-70000
"154",216640022,0,77,2,5,65000,"no gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-65000
"155",216640022,0,78,1,6,60000,"no gender restrictions","living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","no faith/morality restrictions","firearms restrictions",-60000
"156",216640022,1,78,2,6,45000,"gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-45000
"157",216640022,1,79,1,7,55000,"no gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-55000
"158",216640022,0,79,2,7,45000,"gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","no faith/morality restrictions","firearms restrictions",-45000
"159",216640022,1,80,1,8,40000,"gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","no firearms restrictions",-40000
"160",216640022,0,80,2,8,45000,"no gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-45000
"161",216640022,1,81,1,9,40000,"gender restrictions","living wage restrictions","salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-40000
"162",216640022,0,81,2,9,65000,"no gender restrictions","no living wage restrictions","no salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-65000
